design,model,comparison,delta_mae,delta_mae_ci_low,delta_mae_ci_high,delta_rmse,delta_rmse_ci_low,delta_rmse_ci_high,p_improve_rmse,p_improve_mae
one_lag,M1_history_gb,vs_persistence,1.5065894228731302,-0.4449833761979361,3.5943812842350824,3.0096969967012726,-0.2164847545455914,5.346084404100486,0.965,0.9285
one_lag,M1_history_rf,vs_persistence,0.6986747467785968,-1.0622449562224678,2.5486907397533094,1.8446282268745264,-1.3118625850219812,3.907656674694036,0.8515,0.78
one_lag,M2_history_env_compact_gb,vs_persistence,0.8551334720439243,-0.9886412211250033,2.7575954025338936,0.7583374961288811,-0.33638904620308896,2.7190334075388023,0.9255,0.814
one_lag,M2_history_env_compact_rf,vs_persistence,0.9162301362194576,-1.053454427709157,2.770569224008807,2.13506745796078,-1.0036631813928467,4.037674156541164,0.9105,0.8305
one_lag,M3_history_vc_gb,vs_persistence,0.6199999282016861,-0.7226162038136322,2.01805604753762,1.7229079669778855,-0.00860859398609486,2.8906833802813043,0.974,0.821
one_lag,M3_history_vc_rf,vs_persistence,1.6882788935425204,-1.0044463539983524,4.387971714083237,4.175082128555658,-1.0560900405635114,7.738355936333274,0.9175,0.893
one_lag,M4_history_env_compact_vc_gb,vs_persistence,0.7084899388954291,-1.1215413573790767,2.643606440823598,1.1175367089504888,-0.20898632386428675,2.5452594198607454,0.9585,0.777
one_lag,M4_history_env_compact_vc_rf,vs_persistence,0.6833608109766587,-1.1462547602535658,2.466799385178578,2.2613086606790773,-0.8826717018486685,4.1774518204458335,0.908,0.771
one_lag,M5_history_env_full_gb,vs_persistence,0.38555005658933794,-1.560563239806148,2.3841343782122038,0.5532520167477486,-0.6242263641395763,2.489557577691916,0.844,0.644
one_lag,M5_history_env_full_rf,vs_persistence,0.7506350005914335,-0.9445914759050131,2.4070925217564323,1.8909166653022282,-0.8585344090479778,3.565988703242305,0.89,0.806
one_lag,M6_history_env_full_vc_gb,vs_persistence,0.447122682333454,-1.416086686246706,2.344625410136089,0.6803948861046933,-0.5483400502310763,2.423877720770296,0.9065,0.685
one_lag,M6_history_env_full_vc_rf,vs_persistence,0.7396419482187078,-1.0593320875419416,2.5298906984787157,2.0459761713523505,-0.8992439820177971,3.871986380833203,0.896,0.788
one_lag,M4_history_env_compact_vc_rf,compact +VC vs compact,-0.2328693252427989,-0.6228268646356193,0.16385661866901566,0.12624120271829753,-0.36263635893675816,0.36507044160350327,0.7235,0.13
one_lag,M6_history_env_full_vc_rf,full +VC vs full,-0.010993052372725742,-0.333408792916845,0.2766150139746325,0.1550595060501223,-0.15077443405811514,0.32615999688622693,0.8795,0.466
one_lag,M4_history_env_compact_vc_gb,compact +VC vs compact,-0.1466435331484952,-0.568456998162479,0.23515155025517978,0.3591992128216077,-0.20728271263825518,0.7365674851235762,0.793,0.2345
one_lag,M6_history_env_full_vc_gb,full +VC vs full,0.06157262574411604,-0.3076387603843296,0.4314386102397288,0.12714286935694474,-0.12289385837793523,0.3530646142782936,0.8875,0.622
two_lag,M1_history_gb,vs_persistence,1.7432573852332531,-0.7333555834461508,4.499564961112399,3.846374553195737,0.2227048293255562,6.463999968427948,0.981,0.9025
