design,model,rmse,mae,r2,alpha,rmse_mean,mae_mean,r2_mean,rank_temporal_rmse,rank_grouped_rmse,combined_rank
one_lag,M4_history_env_compact_vc_rf,52.34983282339493,31.587606930958835,0.6848793227347625,0.25,37.45939832652235,24.233257934702337,0.847654033038401,3.0,2.0,5.0
one_lag,M2_history_env_compact_rf,52.476074026113224,31.354737605716036,0.6833576682350273,0.30000000000000004,37.385302842362854,24.14652101218787,0.847980447674116,4.0,1.0,5.0
one_lag,M3_history_vc_rf,50.436059355518346,30.582688848392973,0.7074981634472715,0.30000000000000004,38.16149907842437,24.267060826405135,0.8428995913958153,1.0,5.0,6.0
two_lag,M4_history_env_compact_vc_rf,50.79775782149183,31.733231212681623,0.7032878097329457,0.4,41.76849298169269,28.005315789507346,0.8038471541595807,3.0,3.0,6.0
two_lag,M2_history_env_compact_rf,51.02861716002462,31.756043143012548,0.700584760019872,0.4,41.75777454985869,28.12486638017406,0.8035406869391842,5.0,2.0,7.0
two_lag,M1_history_gb,50.76476693087827,30.52771035670224,0.7036730873962502,0.35000000000000003,41.858164529467004,27.49607535799489,0.8067500249230595,2.0,6.0,8.0
one_lag,M6_history_env_full_vc_rf,52.56516531272165,31.531325793716785,0.6822815961358967,0.25,37.85519494965369,24.337808953794966,0.844301917417108,5.0,4.0,9.0
one_lag,M5_history_env_full_rf,52.720224818771776,31.52033274134406,0.6804043863485315,0.25,37.84543113195443,24.452215038283335,0.8442508972510888,6.0,3.0,9.0
two_lag,M6_history_env_full_vc_rf,51.17935670108955,31.772313330028098,0.6988131902097825,0.35000000000000003,41.810741735719525,28.24876192891019,0.8032312701669321,6.0,4.0,10.0
two_lag,M3_history_vc_gb,51.51619593562152,30.947654670926692,0.6948355947518952,0.30000000000000004,41.59686303481015,26.958082837586982,0.8071157049900617,9.0,1.0,10.0
two_lag,M3_history_vc_rf,50.85115065109013,31.29264998105034,0.702663741667392,0.35000000000000003,42.140843430883805,27.219155812593176,0.8013889087210803,4.0,7.0,11.0
two_lag,M1_history_rf,50.75631496554328,31.485660965661722,0.7037717517436033,0.35000000000000003,43.0705200749762,27.532505143153593,0.7928362688720964,1.0,12.0,13.0
two_lag,M5_history_env_full_rf,51.380364231251875,31.845464544255844,0.6964427147661214,0.35000000000000003,41.83909703491024,28.319241876520955,0.8030933596278229,8.0,5.0,13.0
one_lag,M1_history_gb,51.60144448737273,30.764378319062363,0.6938247923169654,0.30000000000000004,38.98185013393392,23.26942301033798,0.8350919700331628,2.0,11.0,13.0
one_lag,M3_history_vc_gb,52.88823351709612,31.650967813733807,0.678364167418153,0.2,38.498794422906066,23.326645117450916,0.8387770885467949,8.0,7.0,15.0
one_lag,M4_history_env_compact_vc_gb,53.493604775123515,31.562477803040064,0.6709589879002755,0.25,38.25114590144876,24.112925720031384,0.8411345104479355,9.0,6.0,15.0
two_lag,M4_history_env_compact_vc_gb,51.30801670402013,31.79855345109549,0.6972969771855911,0.35000000000000003,42.86879785232215,28.517348964105725,0.7941764797175552,7.0,10.0,17.0
one_lag,M2_history_env_compact_gb,53.85280398794512,31.41583426989157,0.6665252583431867,0.25,38.504233662586,24.07650833882265,0.839370878851262,10.0,8.0,18.0
one_lag,M1_history_rf,52.76651325719948,31.572292995156896,0.6798429290964443,0.25,39.07490442579463,23.599188119730513,0.8335621368078903,7.0,12.0,19.0
two_lag,M5_history_env_full_gb,52.02035428828646,31.964383804329447,0.6888334431557148,0.30000000000000004,42.751893594625514,28.473569578816864,0.7954362285101265,11.0,9.0,20.0
two_lag,M2_history_env_compact_gb,52.3359414411986,31.619013136264808,0.6850465393517126,0.35000000000000003,42.59587553002844,28.57503327471138,0.7968108355213465,12.0,8.0,20.0
one_lag,M6_history_env_full_vc_gb,53.93074659796931,31.82384505960204,0.6655592658897833,0.25,38.58009291736063,24.408223167767407,0.8386421910922819,11.0,9.0,20.0
two_lag,M6_history_env_full_vc_gb,51.76345163579914,32.129862891362826,0.6918992478455548,0.30000000000000004,42.97667484339086,28.52578342277934,0.7927953470931792,10.0,11.0,21.0
one_lag,M5_history_env_full_gb,54.057889467326255,31.885417685346155,0.6639805049708101,0.25,38.653981640578046,24.29027560783059,0.8379154319796728,12.0,10.0,22.0
one_lag,M0_persistence,54.611141484074004,32.27096774193549,0.6570673689348745,,39.8299993782321,22.27112962962963,0.8267998022372145,13.0,13.0,26.0
two_lag,M0_persistence,54.611141484074004,32.27096774193549,0.6570673689348745,,44.02399752047826,25.8876,0.7812029975686652,13.0,13.0,26.0
