Country,persistence_mae,history_vc_mae,n_test_appearances,mae_improvement
Liberia,45.1675,83.07762480798228,2,-37.91012480798228
Côte d'Ivoire,60.8575,89.63131896228388,4,-28.773818962283883
Togo,37.18749999999999,64.25291240013055,3,-27.065412400130562
Uganda,24.277499999999996,47.127941583957124,2,-22.850441583957128
South Sudan,38.87249999999999,60.16307032124093,1,-21.290570321240942
Equatorial Guinea,28.86999999999999,47.42891952400008,2,-18.55891952400009
Angola,24.625,42.4675,1,-17.8425
Sierra Leone,17.485,33.225814812067,3,-15.740814812067
Ghana,27.39999999999999,41.424643288741215,2,-14.024643288741224
Cameroon,20.584999999999994,34.331158827017504,1,-13.74615882701751
Burundi,26.047499999999996,38.923069748419245,3,-12.875569748419249
Benin,7.867499999999993,20.580738660694053,2,-12.71323866069406
United Republic of Tanzania,3.8649999999999984,15.617654435387314,3,-11.752654435387315
Central African Republic,13.087500000000006,24.140902188425613,1,-11.053402188425608
Gabon,28.93999999999999,36.43537865653775,2,-7.49537865653776
Gambia,45.647499999999994,50.935478503546015,4,-5.287978503546022
Mozambique,12.105000000000004,14.495992930344272,2,-2.390992930344268
Malawi,8.6875,10.653735121396188,2,-1.9662351213961884
Democratic Republic of the Congo,6.507499999999993,8.292764749456913,7,-1.7852647494569194
Kenya,5.562500000000002,6.766868700768249,4,-1.2043687007682475
Congo,17.682500000000005,17.811976321965574,2,-0.12947632196556924
Senegal,12.332500000000001,12.309354781607798,2,0.023145218392203404
Burkina Faso,9.970000000000013,9.90802561948064,3,0.06197438051937354
Niger,11.919999999999987,11.720139329834154,1,0.1998606701658332
Mali,3.6000000000000227,2.316850699532387,2,1.2831493004676355
Zambia,21.097500000000004,19.39222944803426,5,1.705270551965743
Chad,17.924999999999997,15.098842539032347,1,2.82615746096765
Madagascar,32.94,22.50580711108881,2,10.434192888911188
Zimbabwe,39.405,22.67497770241834,1,16.730022297581662
