Country,persistence_mae,history_vc_mae,n_test_appearances,mae_improvement
Liberia,45.1675,83.03999999999999,2,-37.872499999999995
Côte d'Ivoire,60.8575,89.60404261304298,4,-28.746542613042976
Togo,37.18749999999999,63.61265482221476,3,-26.425154822214765
Equatorial Guinea,28.86999999999999,52.38493931942629,2,-23.514939319426297
Uganda,24.277499999999996,47.20260926540644,2,-22.92510926540644
South Sudan,38.87249999999999,59.73,1,-20.85750000000001
Angola,24.625,42.66884217844647,1,-18.043842178446468
Cameroon,20.584999999999994,37.34131235480329,1,-16.7563123548033
Ghana,27.39999999999999,41.837393844475045,2,-14.437393844475054
Sierra Leone,17.485,31.798582848536437,3,-14.313582848536438
Burundi,26.047499999999996,38.9,3,-12.852500000000003
Senegal,12.332500000000001,23.9924452698125,2,-11.659945269812498
Benin,7.867499999999993,19.291854620314552,2,-11.42435462031456
Central African Republic,13.087500000000006,22.8925,1,-9.804999999999993
Gabon,28.93999999999999,37.06317188797149,2,-8.123171887971502
United Republic of Tanzania,3.8649999999999984,11.318613328106983,3,-7.453613328106984
Democratic Republic of the Congo,6.507499999999993,12.460022206715703,7,-5.9525222067157095
Kenya,5.562500000000002,11.163558793664635,4,-5.601058793664633
Gambia,45.647499999999994,50.60513641472548,4,-4.957636414725485
Mali,3.6000000000000227,6.999215813854158,2,-3.399215813854135
Mozambique,12.105000000000004,15.403509228506984,2,-3.2985092285069797
Burkina Faso,9.970000000000013,11.758763790965093,3,-1.7887637909650795
Malawi,8.6875,8.399049138211774,2,0.28845086178822577
Niger,11.919999999999987,11.63021786959915,1,0.28978213040083745
Congo,17.682500000000005,17.24297627867506,2,0.4395237213249459
Zambia,21.097500000000004,19.635026284222107,5,1.4624737157778966
Chad,17.924999999999997,15.717276555137666,1,2.2077234448623315
Madagascar,32.94,22.397877834041687,2,10.542122165958311
Zimbabwe,39.405,21.865079986408677,1,17.539920013591324
