design,model,comparison,delta_mae,delta_mae_ci_low,delta_mae_ci_high,delta_rmse,delta_rmse_ci_low,delta_rmse_ci_high,p_improve_rmse,p_improve_mae
one_lag,M1_history_gb,vs_persistence,1.5065894228731302,-0.4449833761979361,3.5943812842350824,3.0096969967012726,-0.2164847545455914,5.346084404100486,0.965,0.9285
one_lag,M1_history_rf,vs_persistence,0.6986747467785968,-1.062244956222468,2.548690739753309,1.8446282268745264,-1.3118625850219847,3.907656674694036,0.8515,0.78
one_lag,M2_history_env_compact_gb,vs_persistence,0.8551334720439243,-0.9886412211250033,2.7575954025338936,0.7583374961288811,-0.33638904620308896,2.7190334075388023,0.9255,0.814
one_lag,M2_history_env_compact_rf,vs_persistence,0.916230136219454,-1.053454427709157,2.770569224008807,2.13506745796078,-1.0036631813928536,4.037674156541164,0.9105,0.8305
one_lag,M3_history_vc_gb,vs_persistence,0.6199999282016861,-0.7226162038136322,2.01805604753762,1.7229079669778855,-0.00860859398609486,2.8906833802813043,0.974,0.821
one_lag,M3_history_vc_rf,vs_persistence,1.6882788935425204,-1.0044463539983524,4.387971714083237,4.175082128555658,-1.0560900405635114,7.738355936333274,0.9175,0.893
one_lag,M4_history_env_compact_vc_gb,vs_persistence,0.7084899388954291,-1.1215413573790767,2.643606440823598,1.1175367089504888,-0.20898632386428675,2.5452594198607454,0.9585,0.777
one_lag,M4_history_env_compact_vc_rf,vs_persistence,0.6833608109766587,-1.1462547602535658,2.466799385178578,2.2613086606790773,-0.8826717018486685,4.1774518204458335,0.908,0.771
one_lag,M5_history_env_full_gb,vs_persistence,0.38555005658933794,-1.560563239806148,2.3841343782122038,0.5532520167477486,-0.6242263641395763,2.489557577691916,0.844,0.644
one_lag,M5_history_env_full_rf,vs_persistence,0.7506350005914406,-0.9445914759050131,2.4070925217564323,1.8909166653022282,-0.8585344090479743,3.565988703242305,0.89,0.806
one_lag,M6_history_env_full_vc_gb,vs_persistence,0.447122682333454,-1.416086686246706,2.344625410136089,0.6803948861046933,-0.5483400502310763,2.423877720770296,0.9065,0.685
one_lag,M6_history_env_full_vc_rf,vs_persistence,0.7396419482187078,-1.0593320875419416,2.5298906984787086,2.0459761713523505,-0.8992439820177971,3.871986380833203,0.896,0.788
one_lag,M3_history_vc_rf,history +VC vs history,0.9896041467639236,-0.755321030009867,2.7919161400875283,2.330453901681132,-0.4515859452774449,4.03172422373278,0.9545,0.865
one_lag,M4_history_env_compact_vc_rf,compact +VC vs compact,-0.23286932524279536,-0.6271882289992986,0.14402951256331642,0.12624120271829753,-0.3391142595247132,0.3675703635477651,0.733,0.117
one_lag,M6_history_env_full_vc_rf,full +VC vs full,-0.010993052372732848,-0.3233981648546022,0.2904229773001467,0.1550595060501223,-0.14259852333744077,0.32667076970055436,0.888,0.471
one_lag,M3_history_vc_gb,history +VC vs history,-0.8865894946714441,-1.9623810031341382,0.22730482985196593,-1.286789029723387,-2.4454561934017773,0.462203048347821,0.1,0.0675
one_lag,M4_history_env_compact_vc_gb,compact +VC vs compact,-0.1466435331484952,-0.5463307183835407,0.2327924948370253,0.3591992128216077,-0.21688340980958679,0.7494306572668026,0.803,0.2275
one_lag,M6_history_env_full_vc_gb,full +VC vs full,0.06157262574411604,-0.2918105104077277,0.42202821224788156,0.12714286935694474,-0.1117915986528419,0.3572264090334975,0.886,0.643
two_lag,M1_history_gb,vs_persistence,1.7432573852332531,-0.7712493353170723,4.484271059801169,3.846374553195737,0.3088613725491068,6.473712467732243,0.987,0.9135
two_lag,M1_history_rf,vs_persistence,0.7853067762737709,-2.6829270048269525,4.525058206378004,3.8548265185307145,-1.5033209039780862,7.551386722141244,0.883,0.6825
two_lag,M2_history_env_compact_gb,vs_persistence,0.6519546056706851,-2.0590836166025217,3.5142354828373294,2.2752000428754044,-1.176535347446782,4.36753392158641,0.8785,0.6625
two_lag,M2_history_env_compact_rf,vs_persistence,0.5149245989229385,-2.63479195558355,4.013787539702217,3.5825243240493805,-2.9055547545722122,8.071312514260457,0.7765,0.597
two_lag,M3_history_vc_gb,vs_persistence,1.3233130710088012,-1.0234897329162727,3.582545073919492,3.094945548452486,0.5584363685632666,4.897622305691111,0.994,0.86
two_lag,M3_history_vc_rf,vs_persistence,0.9783177608851545,-2.2180037201298015,4.638812260924591,3.759990832983874,-1.480827446881087,7.712357220502635,0.875,0.69
two_lag,M4_history_env_compact_vc_gb,vs_persistence,0.4724142908400033,-2.4107026687411577,3.6703795997456834,3.303124780053871,-1.19920449597315,6.2139434209483975,0.8865,0.612
two_lag,M4_history_env_compact_vc_rf,vs_persistence,0.5377365292538698,-2.7883182273933143,4.025603304354557,3.8133836625821758,-2.749516257468001,8.444090560921872,0.7895,0.615
two_lag,M5_history_env_full_gb,vs_persistence,0.30658393760604596,-2.020185299479622,2.712499732349589,2.5907871957875415,-0.9158453192409947,5.03397104711554,0.8955,0.5905
two_lag,M5_history_env_full_rf,vs_persistence,0.4255031976796495,-2.5772957245737955,3.5447716684212396,3.2307772528221292,-2.4872242886471647,7.207764907995104,0.7695,0.5785
two_lag,M6_history_env_full_vc_gb,vs_persistence,0.14110485057266686,-2.441752079335309,2.746840710276784,2.847689848274861,-1.0110707101272358,5.648935876228543,0.8775,0.545
two_lag,M6_history_env_full_vc_rf,vs_persistence,0.49865441190739546,-2.47317661447571,3.833915746726767,3.431784782984451,-2.3402604513186267,7.54813381578019,0.7855,0.5985
two_lag,M3_history_vc_rf,history +VC vs history,0.19301098461138366,-1.0629309495693944,1.4585681857687014,-0.09483568554684041,-1.0080087037466474,0.8714782542858436,0.404,0.6115
two_lag,M4_history_env_compact_vc_rf,compact +VC vs compact,0.022811930330931318,-0.49098002591940465,0.45999738534780377,0.23085933853279528,-0.06315826059135965,0.4347263293787436,0.947,0.5625
two_lag,M6_history_env_full_vc_rf,full +VC vs full,0.07315121422774595,-0.23066545849940043,0.37626579580738645,0.20100753016232176,-0.07360972440939041,0.394485056474309,0.935,0.6915
two_lag,M3_history_vc_gb,history +VC vs history,-0.4199443142244519,-2.028998323659483,1.1556073804676554,-0.751429004743251,-1.7632937216423905,1.2192542271703382,0.197,0.3235
two_lag,M4_history_env_compact_vc_gb,compact +VC vs compact,-0.17954031483068178,-1.2971318315554805,0.817579907370738,1.0279247371784663,-0.5643802033136841,2.130403978548566,0.8305,0.3695
two_lag,M6_history_env_full_vc_gb,full +VC vs full,-0.1654790870333791,-1.0060811771942288,0.6534859519221572,0.25690265248731947,-0.5545468287835826,0.7127623697570983,0.783,0.368
